"region","arbetsställets sektortillhörighet","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0114 Upplands Väsby","primärkommunal förvaltning","2008",2338
"0114 Upplands Väsby","primärkommunal förvaltning","2009",2158
"0114 Upplands Väsby","primärkommunal förvaltning","2010",2153
"0114 Upplands Väsby","primärkommunal förvaltning","2011",2129
"0114 Upplands Väsby","primärkommunal förvaltning","2012",2139
"0114 Upplands Väsby","primärkommunal förvaltning","2013",2063
"0114 Upplands Väsby","primärkommunal förvaltning","2014",1981
"0114 Upplands Väsby","primärkommunal förvaltning","2015",2021
"0114 Upplands Väsby","primärkommunal förvaltning","2016",2164
"0114 Upplands Väsby","primärkommunal förvaltning","2017",2208
"0114 Upplands Väsby","landsting","2008",565
"0114 Upplands Väsby","landsting","2009",525
"0114 Upplands Väsby","landsting","2010",510
"0114 Upplands Väsby","landsting","2011",517
"0114 Upplands Väsby","landsting","2012",542
"0114 Upplands Väsby","landsting","2013",544
"0114 Upplands Väsby","landsting","2014",579
"0114 Upplands Väsby","landsting","2015",539
"0114 Upplands Väsby","landsting","2016",544
"0114 Upplands Väsby","landsting","2017",541
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2008",369
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2009",364
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2010",363
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2011",353
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2012",338
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2013",387
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2014",443
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2015",450
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2016",478
"0114 Upplands Väsby","kommunalt ägda företag och organisationer","2017",497
"0115 Vallentuna","primärkommunal förvaltning","2008",1831
"0115 Vallentuna","primärkommunal förvaltning","2009",1804
"0115 Vallentuna","primärkommunal förvaltning","2010",1846
"0115 Vallentuna","primärkommunal förvaltning","2011",1849
"0115 Vallentuna","primärkommunal förvaltning","2012",1890
"0115 Vallentuna","primärkommunal förvaltning","2013",1926
"0115 Vallentuna","primärkommunal förvaltning","2014",1898
"0115 Vallentuna","primärkommunal förvaltning","2015",1884
