"region","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0114 Upplands Väsby","2008",19381
"0114 Upplands Väsby","2009",18888
"0114 Upplands Väsby","2010",19369
"0114 Upplands Väsby","2011",20057
"0114 Upplands Väsby","2012",20396
"0114 Upplands Väsby","2013",20725
"0114 Upplands Väsby","2014",20799
"0114 Upplands Väsby","2015",21363
"0114 Upplands Väsby","2016",22135
"0114 Upplands Väsby","2017",22420
"0115 Vallentuna","2008",14952
"0115 Vallentuna","2009",14931
"0115 Vallentuna","2010",15450
"0115 Vallentuna","2011",15855
"0115 Vallentuna","2012",16260
"0115 Vallentuna","2013",16475
"0115 Vallentuna","2014",16572
"0115 Vallentuna","2015",16771
"0115 Vallentuna","2016",17022
"0115 Vallentuna","2017",17147
"0117 Österåker","2008",19748
"0117 Österåker","2009",19522
"0117 Österåker","2010",19837
"0117 Österåker","2011",20137
"0117 Österåker","2012",20411
"0117 Österåker","2013",20482
"0117 Österåker","2014",20768
"0117 Österåker","2015",21328
"0117 Österåker","2016",22020
"0117 Österåker","2017",22370
"0120 Värmdö","2008",19262
"0120 Värmdö","2009",19028
"0120 Värmdö","2010",19452
"0120 Värmdö","2011",19843
"0120 Värmdö","2012",20196
"0120 Värmdö","2013",20413
"0120 Värmdö","2014",20695
"0120 Värmdö","2015",21177
"0120 Värmdö","2016",21750
"0120 Värmdö","2017",22547
"0123 Järfälla","2008",31159
"0123 Järfälla","2009",30538
"0123 Järfälla","2010",31276
"0123 Järfälla","2011",31940
"0123 Järfälla","2012",32530
"0123 Järfälla","2013",33041
"0123 Järfälla","2014",33609
"0123 Järfälla","2015",34723
"0123 Järfälla","2016",35853
"0123 Järfälla","2017",37341
"0125 Ekerö","2008",12565
"0125 Ekerö","2009",12428
"0125 Ekerö","2010",12686
"0125 Ekerö","2011",13014
"0125 Ekerö","2012",13302
"0125 Ekerö","2013",13366
"0125 Ekerö","2014",13482
"0125 Ekerö","2015",13651
"0125 Ekerö","2016",13818
"0125 Ekerö","2017",13967
"0126 Huddinge","2008",45742
"0126 Huddinge","2009",45161
"0126 Huddinge","2010",46628
"0126 Huddinge","2011",47822
"0126 Huddinge","2012",49171
"0126 Huddinge","2013",49814
"0126 Huddinge","2014",50601
"0126 Huddinge","2015",51716
"0126 Huddinge","2016",53294
"0126 Huddinge","2017",54678
"0127 Botkyrka","2008",36045
"0127 Botkyrka","2009",35165
"0127 Botkyrka","2010",36499
"0127 Botkyrka","2011",38066
"0127 Botkyrka","2012",38960
"0127 Botkyrka","2013",39504
"0127 Botkyrka","2014",40285
"0127 Botkyrka","2015",40779
"0127 Botkyrka","2016",41889
"0127 Botkyrka","2017",42985
"0128 Salem","2008",7367
"0128 Salem","2009",7261
"0128 Salem","2010",7376
"0128 Salem","2011",7592
"0128 Salem","2012",7717
"0128 Salem","2013",7730
"0128 Salem","2014",7707
"0128 Salem","2015",7899
"0128 Salem","2016",7991
"0128 Salem","2017",8065
"0136 Haninge","2008",37029
"0136 Haninge","2009",36467
"0136 Haninge","2010",37313
"0136 Haninge","2011",38211
"0136 Haninge","2012",39051
"0136 Haninge","2013",39755
"0136 Haninge","2014",40517
"0136 Haninge","2015",41595
"0136 Haninge","2016",42923
"0136 Haninge","2017",44282
"0138 Tyresö","2008",20950
"0138 Tyresö","2009",20430
"0138 Tyresö","2010",20857
"0138 Tyresö","2011",21160
"0138 Tyresö","2012",21608
"0138 Tyresö","2013",21914
"0138 Tyresö","2014",22472
"0138 Tyresö","2015",23142
"0138 Tyresö","2016",23803
"0138 Tyresö","2017",23926
"0139 Upplands-Bro","2008",11374
"0139 Upplands-Bro","2009",11154
"0139 Upplands-Bro","2010",11543
"0139 Upplands-Bro","2011",11716
"0139 Upplands-Bro","2012",11864
"0139 Upplands-Bro","2013",11953
"0139 Upplands-Bro","2014",12260
"0139 Upplands-Bro","2015",12547
"0139 Upplands-Bro","2016",13166
"0139 Upplands-Bro","2017",13609
"0140 Nykvarn","2008",4702
"0140 Nykvarn","2009",4664
"0140 Nykvarn","2010",4760
"0140 Nykvarn","2011",4810
"0140 Nykvarn","2012",4901
"0140 Nykvarn","2013",4894
"0140 Nykvarn","2014",5102
"0140 Nykvarn","2015",5302
"0140 Nykvarn","2016",5420
"0140 Nykvarn","2017",5552
"0160 Täby","2008",30795
"0160 Täby","2009",30399
"0160 Täby","2010",30947
"0160 Täby","2011",31567
"0160 Täby","2012",32246
"0160 Täby","2013",32702
"0160 Täby","2014",33014
"0160 Täby","2015",33489
"0160 Täby","2016",34116
"0160 Täby","2017",34759
"0162 Danderyd","2008",13836
"0162 Danderyd","2009",13651
"0162 Danderyd","2010",13834
"0162 Danderyd","2011",14124
